customer_id,gender,age,education_level,marital_status,dependents,income,credit_limit,tenure_months,relationship_duration_years,avg_monthly_spend,monthly_balance,credit_utilization,transaction_count,cash_advance_count,card_category,late_payment_count,missed_payment_flag,last_payment_amount,online_services_used,reward_points,risk_score,churn
CUST00039,Female,62,High School,Married,0,38627.0,10400.0,6,0.5,786.0,1882.0,0.181,35,1,Business,0,0,1465.0,4,1965.0,338.5,0
CUST00040,Male,41,High School,Divorced,0,47912.0,7200.0,17,0.9,165.0,790.0,0.1097,47,2,Standard,2,0,383.0,6,1204.0,316.3,0
CUST00041,Male,21,High School,Single,0,45636.0,14000.0,95,2.7,656.0,3819.0,0.2728,32,1,Business,2,0,3720.0,9,25808.0,300.9,0
CUST00042,Male,48,Associate,Married,0,53189.0,6700.0,7,0.5,825.0,1773.0,0.2646,40,1,Standard,4,1,813.0,4,2440.0,328.2,0
CUST00043,Male,27,High School,Married,1,25000.0,4000.0,112,6.9,293.0,774.0,0.1935,36,0,Standard,3,0,890.0,6,13568.0,370.0,0
CUST00044,Female,50,Doctorate,Married,1,109548.0,32300.0,40,2.1,1524.0,5140.0,0.1591,35,0,Gold,1,0,5136.0,1,25696.0,320.9,1
CUST00045,Male,49,Bachelor,Married,1,58522.0,7700.0,22,1.7,293.0,2581.0,0.3352,33,1,Business,1,0,2192.0,7,2667.0,300.0,0
CUST00046,Female,33,Doctorate,Single,2,106793.0,28200.0,6,0.5,2187.0,10543.0,0.3739,30,0,Gold,1,0,4362.0,9,5451.0,303.3,0
CUST00047,Male,58,Associate,Single,1,46655.0,7600.0,26,1.8,242.0,2400.0,0.3158,33,0,Standard,1,0,1992.0,3,2618.0,300.6,0
CUST00048,Female,54,Bachelor,Married,1,56632.0,13100.0,19,0.9,1087.0,1533.0,0.117,29,2,Business,1,0,902.0,3,8629.0,310.6,0
CUST00049,Female,56,Master,Married,3,90115.0,29300.0,56,3.6,319.0,11593.0,0.3957,35,0,Gold,0,0,11971.0,1,7356.0,300.0,0
CUST00050,Male,45,Bachelor,Married,1,74669.0,19400.0,29,1.6,787.0,7411.0,0.382,32,0,Gold,1,0,5241.0,4,9441.0,300.0,0
CUST00051,Female,28,Master,Single,2,95922.0,19300.0,131,7.3,614.0,6086.0,0.3153,34,0,Gold,0,0,651.0,10,33507.0,300.0,0
CUST00052,Female,56,Associate,Married,0,46648.0,12500.0,6,0.5,265.0,6593.0,0.5274,42,0,Business,1,0,1957.0,2,646.0,300.0,0
CUST00053,Female,41,High School,Divorced,1,28538.0,3600.0,88,3.9,456.0,562.0,0.1561,38,1,Standard,2,0,554.0,4,16740.0,300.0,0
CUST00054,Female,28,High School,Single,1,30851.0,10000.0,17,0.9,625.0,1235.0,0.1235,42,1,Standard,0,0,1460.0,6,4478.0,325.6,0
CUST00055,Female,61,High School,Married,0,26527.0,5200.0,25,1.8,486.0,2060.0,0.3962,34,2,Standard,1,0,304.0,3,4998.0,316.5,1
CUST00056,Female,70,Associate,Married,2,51442.0,16900.0,69,3.0,428.0,7191.0,0.4255,46,1,Business,2,0,1244.0,3,12473.0,311.6,0
CUST00057,Male,44,Doctorate,Single,0,145881.0,38800.0,41,2.7,2137.0,8022.0,0.2068,37,2,Platinum,2,0,2554.0,7,36271.0,300.0,0
CUST00058,Male,70,Bachelor,Married,2,71703.0,13300.0,105,5.5,602.0,5820.0,0.4376,32,1,Business,2,0,3004.0,2,26256.0,300.0,0
CUST00059,Male,46,Bachelor,Divorced,0,68433.0,17300.0,150,11.9,295.0,12858.0,0.7432,38,1,Business,3,0,5006.0,3,18411.0,341.0,0
CUST00060,Male,40,Master,Married,0,86588.0,17700.0,36,2.7,418.0,4662.0,0.2634,34,0,Gold,2,0,1203.0,3,6365.0,306.7,0
CUST00061,Male,37,High School,Married,1,39287.0,10200.0,29,2.3,234.0,2609.0,0.2558,36,1,Business,1,0,2212.0,5,2781.0,306.0,0
CUST00062,Male,64,Associate,Widowed,1,52359.0,15200.0,10,0.5,823.0,2271.0,0.1494,30,0,Business,2,0,416.0,3,3387.0,308.3,0
CUST00063,Female,35,Associate,Married,0,42133.0,9400.0,11,0.9,218.0,4492.0,0.4779,23,0,Standard,2,0,699.0,2,1000.0,300.0,1
CUST00064,Male,53,High School,Married,4,29957.0,5100.0,10,0.5,420.0,1070.0,0.2098,35,2,Standard,1,0,242.0,1,1771.0,308.9,1
CUST00065,Male,38,Master,Married,2,79581.0,26200.0,55,4.3,201.0,11311.0,0.4317,44,0,Gold,1,0,13448.0,3,4613.0,300.0,0
CUST00066,Female,39,Bachelor,Single,1,70964.0,15000.0,34,1.9,1216.0,3056.0,0.2037,35,0,Business,1,0,2103.0,8,17216.0,300.0,0
CUST00067,Male,57,Bachelor,Single,1,66908.0,10800.0,47,3.8,513.0,4305.0,0.3986,39,1,Business,1,0,1282.0,1,10098.0,305.2,0
CUST00068,Female,40,Master,Married,1,87821.0,24500.0,60,2.5,1219.0,2586.0,0.1056,33,0,Gold,3,0,1855.0,3,30603.0,347.3,0
CUST00069,Male,40,Bachelor,Married,2,67072.0,17500.0,80,5.6,633.0,7022.0,0.4013,32,0,Business,1,0,2558.0,4,21114.0,300.0,0
CUST00070,Female,58,High School,Single,1,38682.0,11400.0,6,0.5,510.0,2775.0,0.2434,44,1,Business,1,0,1091.0,0,1297.0,319.2,0
CUST00071,Female,64,High School,Widowed,1,35754.0,4500.0,74,5.2,228.0,1785.0,0.3967,41,2,Standard,1,0,664.0,2,7121.0,300.0,0
CUST00072,Male,52,Bachelor,Single,0,61743.0,12200.0,37,2.6,919.0,1803.0,0.1478,27,1,Business,0,0,1566.0,3,14023.0,328.6,0
CUST00073,Male,37,High School,Married,1,25000.0,4800.0,90,6.3,504.0,1079.0,0.2248,31,1,Standard,0,0,933.0,6,18804.0,313.4,0
CUST00074,Female,38,High School,Married,1,38492.0,12200.0,95,7.8,542.0,2434.0,0.1995,53,1,Business,2,0,2141.0,10,21678.0,307.6,0
CUST00075,Female,45,High School,Married,0,35773.0,7100.0,20,1.4,406.0,3993.0,0.5624,33,0,Standard,2,0,4525.0,6,3414.0,332.4,0
CUST00076,Female,48,Bachelor,Married,2,64504.0,15100.0,45,2.8,772.0,7296.0,0.4832,34,3,Business,1,0,2303.0,3,14729.0,304.2,0
CUST00077,Female,33,High School,Single,1,25000.0,3100.0,62,3.2,265.0,1117.0,0.3603,38,1,Standard,2,0,733.0,6,6847.0,316.0,0
CUST00078,Male,53,Bachelor,Married,2,71100.0,20900.0,10,0.7,513.0,3432.0,0.1642,29,1,Gold,0,0,4039.0,2,2039.0,300.0,0
CUST00079,Male,46,Bachelor,Divorced,1,57238.0,8500.0,23,1.1,578.0,954.0,0.1122,45,1,Business,1,0,797.0,1,5551.0,309.3,0
CUST00080,Male,24,Associate,Married,0,46015.0,14200.0,10,0.5,503.0,4777.0,0.3364,32,1,Business,0,0,3210.0,6,2036.0,301.8,1
CUST00081,Female,33,High School,Single,1,36594.0,10200.0,6,0.5,596.0,1616.0,0.1584,32,0,Standard,1,0,647.0,10,1484.0,316.5,1
CUST00082,Female,38,High School,Married,1,25000.0,6000.0,43,2.5,222.0,939.0,0.1565,36,4,Standard,1,0,578.0,6,4007.0,362.5,0
CUST00083,Male,44,Associate,Single,2,47905.0,13500.0,30,1.5,481.0,5182.0,0.3839,30,0,Business,3,0,3814.0,6,5979.0,329.8,1
CUST00084,Male,67,Bachelor,Widowed,2,69867.0,20300.0,18,1.3,1045.0,4551.0,0.2242,31,2,Gold,3,0,499.0,2,7886.0,336.6,0
CUST00085,Male,47,Bachelor,Married,1,59806.0,16800.0,8,0.6,1094.0,5582.0,0.3323,31,0,Business,0,0,4409.0,6,3690.0,311.4,1
CUST00086,Male,34,Associate,Married,1,46276.0,12200.0,7,0.5,895.0,1705.0,0.1398,33,1,Business,0,0,1403.0,9,2581.0,304.3,1
CUST00087,Female,47,Associate,Married,0,40425.0,12500.0,11,0.6,585.0,3582.0,0.2866,26,2,Business,2,0,678.0,2,2652.0,316.0,0
CUST00088,Female,40,High School,Married,0,30566.0,6500.0,144,6.1,356.0,4398.0,0.6766,40,0,Standard,3,0,2431.0,3,21392.0,339.4,0
CUST00089,Female,48,Associate,Married,0,52825.0,12800.0,118,9.0,831.0,5122.0,0.4002,31,1,Business,2,0,3083.0,1,40688.0,330.8,0
CUST00090,Male,51,High School,Divorced,0,35738.0,11700.0,67,2.8,111.0,4793.0,0.4097,38,1,Business,2,0,4429.0,2,3081.0,300.0,0
CUST00091,Male,59,High School,Married,2,33363.0,6800.0,6,0.5,458.0,996.0,0.1465,35,2,Standard,3,0,922.0,7,1197.0,365.1,0
CUST00092,Female,44,High School,Single,2,27484.0,7700.0,64,5.1,238.0,1935.0,0.2513,32,0,Standard,0,0,995.0,2,6363.0,300.0,0
CUST00093,Female,64,Bachelor,Widowed,0,60724.0,12500.0,50,3.3,782.0,9061.0,0.7249,36,1,Business,2,0,4216.0,1,16227.0,300.0,0
CUST00094,Female,55,Bachelor,Married,3,60215.0,13400.0,100,7.5,500.0,6772.0,0.5054,29,2,Business,1,0,1361.0,4,20691.0,300.0,0
CUST00095,Female,36,Bachelor,Married,0,62225.0,12100.0,22,1.0,381.0,1899.0,0.1569,32,1,Business,1,0,766.0,4,3464.0,309.2,0
CUST00096,Male,71,High School,Married,1,25000.0,3900.0,26,1.2,184.0,1125.0,0.2885,42,0,Standard,2,0,757.0,2,1906.0,326.8,0
CUST00097,Female,48,Master,Married,0,78335.0,25700.0,30,1.7,1360.0,10999.0,0.428,44,0,Gold,2,0,9976.0,7,5221.0,300.0,0
CUST00098,Male,34,Doctorate,Married,1,114790.0,25000.0,28,2.0,1149.0,581.0,0.0232,23,1,Gold,2,0,125.0,3,13383.0,300.0,0
CUST00099,Male,64,Master,Widowed,0,79496.0,14600.0,13,0.6,1351.0,5761.0,0.3946,28,0,Business,1,0,5526.0,2,7249.0,302.8,0
CUST00100,Male,69,Associate,Divorced,0,51423.0,13400.0,6,0.5,902.0,4752.0,0.3546,29,2,Business,1,0,3798.0,4,2224.0,305.2,0
CUST00101,Male,44,Associate,Single,4,53568.0,7900.0,44,3.6,155.0,2970.0,0.3759,42,0,Business,0,0,3492.0,4,2896.0,300.0,0
CUST00102,Female,38,Bachelor,Married,0,69509.0,16600.0,87,4.7,1480.0,5670.0,0.3416,37,2,Business,1,0,3802.0,6,53962.0,300.0,0
CUST00103,Male,42,Associate,Married,0,51035.0,12500.0,39,2.6,230.0,5812.0,0.465,29,0,Business,3,0,602.0,5,3757.0,315.5,0
CUST00104,Male,53,High School,Married,0,34606.0,5700.0,63,4.4,413.0,580.0,0.1018,42,0,Standard,1,0,276.0,2,10802.0,316.1,0
CUST00105,Female,60,Associate,Divorced,2,53653.0,17400.0,26,1.1,1154.0,3512.0,0.2018,34,1,Business,1,0,2523.0,1,12491.0,316.9,0
CUST00106,Male,51,High School,Divorced,0,35497.0,8800.0,25,1.6,201.0,319.0,0.0362,40,0,Standard,3,0,264.0,4,2057.0,336.9,0
CUST00107,Male,46,Bachelor,Divorced,0,65280.0,11200.0,152,7.6,414.0,2871.0,0.2563,40,3,Business,1,0,3054.0,4,26232.0,300.0,0
CUST00108,Female,62,Associate,Married,2,42506.0,12700.0,187,8.5,305.0,4889.0,0.385,30,3,Business,0,0,1487.0,2,23981.0,300.0,0
CUST00109,Male,41,High School,Divorced,2,27242.0,5100.0,33,1.9,520.0,1061.0,0.208,34,1,Standard,1,0,352.0,4,7170.0,308.4,1
CUST00110,Male,57,High School,Single,1,25000.0,6900.0,16,1.2,483.0,509.0,0.0738,45,2,Standard,2,0,165.0,3,3295.0,306.9,0
CUST00111,Male,41,High School,Divorced,1,36152.0,9300.0,16,1.3,742.0,2550.0,0.2742,36,0,Standard,0,0,1319.0,6,4961.0,300.0,0
CUST00112,Male,50,Bachelor,Married,4,58988.0,9300.0,40,2.5,744.0,2071.0,0.2227,33,2,Business,0,0,1478.0,3,12499.0,300.0,0
CUST00113,Female,43,High School,Divorced,0,39827.0,5800.0,9,0.7,818.0,1036.0,0.1786,30,0,Standard,0,0,532.0,4,3082.0,335.2,0
CUST00114,Female,44,Associate,Single,1,44190.0,11100.0,141,11.4,348.0,1550.0,0.1396,31,3,Business,0,0,255.0,3,20371.0,300.0,0
CUST00115,Female,40,High School,Married,0,25112.0,6600.0,44,2.6,369.0,3228.0,0.4891,38,1,Standard,1,0,996.0,3,6746.0,313.8,0
CUST00116,Female,61,Associate,Married,0,47073.0,7200.0,6,0.5,521.0,833.0,0.1157,33,0,Standard,3,0,274.0,3,1294.0,311.7,0
CUST00117,Female,36,High School,Married,2,39814.0,6400.0,16,0.9,329.0,896.0,0.14,46,1,Standard,3,0,959.0,6,2224.0,359.4,0
CUST00118,Male,36,Master,Married,1,78911.0,10700.0,9,0.5,1401.0,3323.0,0.3106,40,4,Business,0,0,2440.0,2,5335.0,311.3,0
CUST00119,Female,70,Associate,Married,2,41712.0,6400.0,6,0.5,718.0,1461.0,0.2283,31,0,Standard,1,0,201.0,4,1814.0,300.0,0
CUST00120,Female,56,Bachelor,Married,3,66513.0,16500.0,37,2.5,1163.0,5552.0,0.3365,32,2,Business,2,0,1304.0,1,5221.0,300.0,1
CUST00121,Female,18,Associate,Single,1,138782.0,23100.0,6,0.5,2008.0,4570.0,0.1978,30,0,Gold,6,1,5066.0,4,4918.0,319.8,1
CUST00122,Female,38,Bachelor,Married,0,74714.0,13800.0,18,1.2,690.0,4235.0,0.3069,33,1,Business,2,0,3189.0,6,5193.0,313.2,0
CUST00123,Male,23,Associate,Single,0,72430.0,17400.0,39,2.0,1154.0,10462.0,0.6013,34,0,Business,0,0,7598.0,3,18850.0,307.5,0
CUST00124,Male,33,Bachelor,Single,0,66967.0,14100.0,6,0.5,437.0,867.0,0.0615,40,2,Business,2,0,501.0,6,1072.0,302.1,0
CUST00125,Male,18,High School,Single,0,35630.0,10700.0,77,0.5,266.0,1884.0,0.1761,30,1,Standard,1,0,1159.0,5,8575.0,309.3,0
CUST00126,Male,43,Bachelor,Divorced,0,61017.0,14900.0,7,0.5,1321.0,1279.0,0.0858,36,0,Business,2,0,1104.0,1,3804.0,300.0,1
CUST00127,Female,31,Associate,Married,1,40028.0,6100.0,33,1.6,536.0,325.0,0.0533,30,0,Standard,3,0,301.0,8,7388.0,340.9,0
CUST00128,Female,45,High School,Married,1,32488.0,6700.0,92,4.8,547.0,924.0,0.1379,29,1,Standard,3,0,320.0,4,20921.0,345.9,0
CUST00129,Male,25,High School,Single,0,35075.0,6300.0,6,0.5,407.0,2323.0,0.3687,38,2,Standard,1,0,917.0,7,984.0,300.0,0
CUST00130,Male,45,High School,Married,0,39077.0,7000.0,6,0.5,100.0,2307.0,0.3296,39,0,Standard,1,0,1528.0,9,282.0,330.8,0
CUST00131,Male,40,Bachelor,Married,4,65140.0,11600.0,6,0.5,828.0,5116.0,0.441,37,2,Business,0,0,2306.0,0,2094.0,300.0,0
CUST00132,Male,63,High School,Married,0,25000.0,5300.0,15,1.2,332.0,2162.0,0.4079,40,2,Standard,0,0,431.0,0,2044.0,351.9,0
CUST00133,Male,61,Associate,Married,0,54987.0,8400.0,40,2.9,244.0,2597.0,0.3092,29,0,Business,3,0,2072.0,3,4065.0,339.4,0
CUST00134,Male,54,Associate,Married,0,51436.0,9100.0,27,2.0,346.0,3648.0,0.4009,32,2,Business,1,0,2742.0,3,3816.0,300.0,0
CUST00135,Female,41,Doctorate,Divorced,1,127929.0,34700.0,12,0.6,640.0,4427.0,0.1276,48,1,Platinum,1,0,2009.0,7,3209.0,300.0,0
CUST00136,Male,68,Bachelor,Divorced,1,55055.0,16400.0,34,2.7,1109.0,5126.0,0.3126,32,0,Business,3,0,5456.0,3,15794.0,328.4,0
CUST00137,Male,26,Bachelor,Married,4,69378.0,8900.0,21,0.9,215.0,3207.0,0.3603,35,2,Business,0,0,3006.0,2,1875.0,300.0,0
CUST00138,Female,28,High School,Single,0,34754.0,4900.0,15,1.0,615.0,726.0,0.1482,34,1,Standard,1,0,93.0,10,3813.0,323.4,1
CUST00139,Male,43,Associate,Divorced,0,53123.0,16100.0,17,0.8,591.0,3206.0,0.1991,36,1,Business,1,0,3439.0,8,4271.0,300.0,0
CUST00140,Female,72,Master,Married,2,75284.0,12800.0,16,1.1,192.0,7295.0,0.5699,26,1,Business,0,0,4274.0,2,1258.0,300.0,0
CUST00141,Female,42,Associate,Married,0,50009.0,9500.0,25,1.1,574.0,4864.0,0.512,34,1,Business,2,0,3407.0,5,5968.0,300.0,0
CUST00142,Male,42,High School,Married,0,39679.0,7700.0,17,1.2,875.0,1094.0,0.1421,33,1,Standard,1,0,1024.0,2,6230.0,326.7,0
CUST00143,Male,27,Associate,Married,0,48232.0,14700.0,13,0.6,555.0,4162.0,0.2831,38,1,Business,2,0,4821.0,6,2974.0,300.0,0
CUST00144,Male,56,Associate,Married,3,41312.0,6600.0,13,0.6,329.0,2112.0,0.32,40,0,Standard,1,0,507.0,3,1842.0,300.0,0
CUST00145,Male,56,Associate,Married,1,53820.0,15800.0,8,0.6,1125.0,4917.0,0.3112,37,1,Business,0,0,3028.0,2,3770.0,300.0,0
CUST00146,Male,54,Associate,Married,2,46229.0,10300.0,8,0.5,190.0,231.0,0.0224,35,0,Business,1,0,266.0,1,606.0,300.0,0
CUST00147,Female,37,Associate,Married,1,44839.0,12900.0,12,0.9,791.0,1375.0,0.1066,29,0,Business,1,0,967.0,3,4005.0,313.1,0
CUST00148,Male,36,Bachelor,Married,3,72876.0,19600.0,129,5.9,542.0,12864.0,0.6563,27,0,Gold,1,0,13341.0,9,29020.0,300.0,0
CUST00149,Male,29,Associate,Single,1,53322.0,14800.0,8,0.5,888.0,6677.0,0.4511,43,1,Business,2,0,7389.0,7,2955.0,329.5,0
CUST00150,Male,46,Associate,Divorced,3,51235.0,7600.0,21,1.7,270.0,2186.0,0.2876,29,0,Business,0,0,1296.0,1,2336.0,327.0,0
CUST00151,Female,32,Doctorate,Married,4,173129.0,32800.0,86,5.1,600.0,17055.0,0.52,30,1,Platinum,0,0,13821.0,5,21806.0,325.8,0
CUST00152,Male,30,High School,Single,0,28804.0,5000.0,6,0.5,464.0,791.0,0.1582,37,1,Standard,2,0,259.0,8,1197.0,300.0,0
CUST00153,Male,39,High School,Single,2,32501.0,4900.0,33,2.7,327.0,433.0,0.0884,31,1,Standard,0,0,78.0,3,4493.0,330.7,0
CUST00154,Male,39,Associate,Single,0,43969.0,11400.0,73,4.3,980.0,1470.0,0.1289,35,0,Business,3,0,1315.0,2,30022.0,309.2,0
CUST00155,Female,38,High School,Married,3,27873.0,7500.0,6,0.5,383.0,30.0,0.004,34,0,Standard,3,0,33.0,3,949.0,343.7,1
CUST00156,Male,50,Master,Married,0,86617.0,13400.0,60,4.8,311.0,5221.0,0.3896,37,2,Business,1,0,5025.0,1,7824.0,300.0,0
CUST00157,Female,45,High School,Married,0,25000.0,7100.0,37,1.6,133.0,1365.0,0.1923,30,3,Standard,0,0,167.0,1,2125.0,320.9,0
CUST00158,Female,41,Associate,Divorced,2,53493.0,9900.0,61,4.0,1095.0,3190.0,0.3222,36,0,Business,1,0,1080.0,4,27639.0,300.0,0
CUST00159,Male,47,High School,Married,1,25000.0,5100.0,6,0.5,100.0,926.0,0.1816,28,1,Standard,0,0,436.0,8,233.0,315.8,0
CUST00160,Female,33,Associate,Single,2,49525.0,16400.0,6,0.5,658.0,1982.0,0.1209,29,1,Business,1,0,1036.0,5,1647.0,300.0,0
CUST00161,Male,46,Associate,Divorced,3,48942.0,8100.0,6,0.5,139.0,516.0,0.0637,25,2,Business,1,0,533.0,3,365.0,323.7,0
CUST00162,Female,46,Bachelor,Divorced,0,70440.0,10500.0,139,10.5,1188.0,2918.0,0.2779,41,0,Business,0,0,2992.0,2,68591.0,312.8,0
CUST00163,Female,26,High School,Married,0,39673.0,7200.0,76,4.2,211.0,4439.0,0.6165,34,0,Standard,0,0,2120.0,5,6604.0,326.8,0
CUST00164,Female,56,Bachelor,Married,0,59464.0,19000.0,30,1.7,363.0,10411.0,0.5479,33,1,Business,1,0,5882.0,4,4496.0,326.3,0
CUST00165,Male,34,High School,Married,1,25000.0,3800.0,27,1.2,204.0,140.0,0.0368,34,1,Standard,1,0,49.0,8,2268.0,358.4,0
CUST00166,Female,46,Master,Divorced,2,97627.0,24700.0,10,0.8,250.0,3572.0,0.1446,23,0,Gold,0,0,3591.0,6,1033.0,310.1,0
CUST00167,Male,58,Associate,Single,4,49872.0,14500.0,8,0.5,648.0,762.0,0.0526,36,1,Business,1,0,489.0,2,2148.0,301.5,0
CUST00168,Male,56,Master,Married,0,75954.0,24100.0,9,0.6,1665.0,650.0,0.027,36,1,Gold,3,0,76.0,4,6072.0,330.4,0
CUST00169,Male,45,Bachelor,Married,1,67769.0,15200.0,47,3.0,1111.0,2371.0,0.156,31,1,Business,0,0,1582.0,5,21727.0,311.5,0
CUST00170,Female,40,Associate,Married,0,47716.0,10500.0,36,1.7,1028.0,1123.0,0.107,46,0,Business,1,0,602.0,6,15607.0,300.0,0
CUST00171,Female,56,Bachelor,Married,0,58078.0,17300.0,25,1.6,297.0,906.0,0.0524,38,3,Business,1,0,182.0,1,3029.0,306.4,0
CUST00172,Male,53,Bachelor,Married,0,58734.0,9700.0,64,3.5,430.0,1665.0,0.1716,40,1,Business,0,0,1677.0,2,11302.0,300.0,0
CUST00173,Male,37,High School,Married,3,25000.0,5500.0,6,0.5,236.0,316.0,0.0575,33,2,Standard,1,0,61.0,8,587.0,325.7,1
